page_id	id	caption	created_datetime	from_group	link	message	name	parent_id	status_type	story	type_of_post
563554503788475	563554503788475_1281682905308961	fabiosa.guru	2018-01-18 12:40:23	{'name': 'Wikr.com', 'id': '563554503788475'}	https://fabiosa.guru/rssk-aumts-pdar-phnkz-carys-douglas-looks-just-like-her-gorgeous-mother-catherine-zeta-jones/?utm_source=wikrmain&utm_medium=post&utm_campaign=olash	The resemblance between the two beauties cannot go amiss.	Carys Douglas Looks Just Like Her Gorgeous Mother, Catherine Zeta-Jones		shared_story		link
563554503788475	563554503788475_1281915745285677		2018-01-19 02:15:00	{'name': 'Wikr.com', 'id': '563554503788475'}	https://www.facebook.com/wikrcom/photos/a.564090487068210.1073741828.563554503788475/1281915648619020/?type=3	Not everyone gets a lifelong sweetheart!☝ http://bit.ly/2rjSYgz			added_photos		photo
563554503788475	563554503788475_1282140031929915	fabiosa.guru	2018-01-19 02:50:01	{'name': 'Wikr.com', 'id': '563554503788475'}	https://fabiosa.guru/rsyt-auble-pdkv-phnkz-8-iconic-hollywood-heartthrobs/?utm_source=wikrmain&utm_medium=post&utm_campaign=ssr	These Hollywood icons found the way into the hearts of millions of women.	8 Iconic Hollywood Heartthrobs		shared_story		link
563554503788475	563554503788475_1282570575220194	fabiosa.guru	2018-01-19 16:15:00	{'name': 'Wikr.com', 'id': '563554503788475'}	https://fabiosa.guru/rsats-autzh-pdkv-phnkz-meghan-markle-receives-an-apron-as-her-first-official-royal-gift-and-there-is-a-romantic-story-behind-it/?utm_source=wikrmain&utm_medium=post&utm_campaign=asz	Official gifts can be worn and used, but are not considered the personal property of the royal recipient.	Meghan Markle Receives An Apron As Her First Official Royal Gift, And There Is A Romantic Story Behind It		shared_story		link
563554503788475	563554503788475_1282756538534931	fabiosa.guru	2018-01-19 20:52:04	{'name': 'Wikr.com', 'id': '563554503788475'}	https://fabiosa.guru/nws-rsvkl-auvkl-pdmt-amy-roloff-congratulated-jacob-on-his-21st-birthday-with-a-very-sweet-message/?utm_source=wikrmain&utm_medium=post&utm_campaign=dp	Jacob says he can’t wait to see what the future holds for him.	Amy Roloff Congratulated Jacob On His 21st Birthday With A Very Sweet Message		shared_story		link
563554503788475	563554503788475_1279163868894198	fabiosa.guru	2018-01-15 00:00:06	{'name': 'Wikr.com', 'id': '563554503788475'}	https://fabiosa.guru/rsats-auns-pdar-phdlkh-22-pictures-of-pets-that-show-their-incredible-transformation-before-and-after-adoption/?utm_source=wikrmain&utm_medium=post&utm_campaign=ssr	These animals were found in a truly terrible state but all that changed when they were adopted.	22 Pictures Of Pets That Show Their Incredible Transformation Before And After Adoption		shared_story		link
563554503788475	563554503788475_1279455565531695	fabiosa.guru	2018-01-15 11:50:26	{'name': 'Wikr.com', 'id': '563554503788475'}	https://fabiosa.guru/rsakrs-auvkl-pdkv-phkan-joanne-k-rowling-on-how-she-rose-from-an-unemployed-single-mother-to-the-best-selling-author-in-history/?utm_source=wikrmain&utm_medium=post&utm_campaign=asz	A failed marriage and lack of job offers didn’t prevent Joanne from becoming a world-famous author.	Joanne K. Rowling On How She Rose From An Unemployed Single Mother To The Best-Selling Author In History		shared_story		link
563554503788475	563554503788475_1279657195511532	amostars.com	2018-01-15 17:33:56	{'name': 'Wikr.com', 'id': '563554503788475'}	https://amostars.com/22188-tom-cruise-abnormally-strict-rules-katie.html#utm_source=wikr	There were a bunch of others. All weird	Tom Cruise had abnormally strict rules for Katie Holmes. Childbirth in silence only one of them		shared_story	Wikr.com with AmoStars.com.	link
563554503788475	563554503788475_1279741272169791		2018-01-16 11:40:00	{'name': 'Wikr.com', 'id': '563554503788475'}	https://www.facebook.com/165608444009109/videos/211482586088361/	How decorative scotch tape can be used for decorating various objects.	Tips & Tricks	165608444009109_211482586088361	mobile_status_update	Wikr.com shared Tips & Tricks's video.	video
563554503788475	563554503788475_1279790252164893	amostars.com	2018-01-15 21:35:18	{'name': 'Wikr.com', 'id': '563554503788475'}	https://amostars.com/22196-mariah-carey-happily-shows-cute-twins-a.html#utm_source=wikr	Oh my, they are most adorable, little curly haired beauties	Mariah Carey happily shows off her cute little twins in a sweet Christmas inspired picture		shared_story	Wikr.com with AmoStars.com.	link
